LON,LAT,EDO,CLAVE,ESTACION,jun-24
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",100.77
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",155.81
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",62.94
-102.296667,22.362778,AGS,CSOAG,"Cosío, Ags.",147.94
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",99.61
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",96.1
-102.371667,21.78,AGS,NGRAG,"El Niágara, Ags.",91.04
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",115.31
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",77
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",129.7
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",125.61
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",66.52
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",102.21
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",173.4
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0.8
-115.931389,30.517222,BC,ENBBN,"San Quintín, B.C.",0
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",0
-117.248056,32.415556,BC,ISLACORONADOmar,"Isla Coronado, B.C. SEMAR*",0
-115.502222,32.639444,BC,MEXICALIob,"Mexicali Observatorio, B.C. SMN*",0
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0.2
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",0
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",0
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",0
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",0.3
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",0
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",0
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",7.8
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0.01
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0.01
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",0.03
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",10
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",4.8
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0
-111.829444,24.481111,BCS,PCORTESmar,"Puerto Cortés, B.C.S. SEMAR*",0
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",3
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",9.82
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",19.2
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",3
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",10
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",12
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",12.8
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",8
