Usuario,Nombre,Fecha,Texto,Likes,Retweets,Comentarios,Citas,Tipo,Puntaje
SSP_Apodaca,Policía de Apodaca,2020-09-13 00:35:07+00:00,cayiskayis apodacaoficial cc pfnuevoleon,1,0,1,0,no se relaciona,-0.0210445374250412
SSP_Apodaca,Policía de Apodaca,2020-09-10 17:39:18+00:00,se logró la detención de una persona por amenazar con arma blanca a oficial de policía en la col lomas de la paz resultando con orden de aprehensión vigente por homicidio alsiguientenivel serviryproteger,13,3,0,0,crimen,-0.1672015860676765
SSP_Apodaca,Policía de Apodaca,2020-09-10 17:24:53+00:00,aviso vecinos de la col los fresnos por corte de agua por reparaciones de tubo roto indica aydparati se normaliza el servicio a las hrs,8,0,0,0,no se relaciona,-0.9000684767961502
SSP_Apodaca,Policía de Apodaca,2020-09-10 01:40:46+00:00,inicia la lluvia en diferentes sectores de apodacaoficial precaución al conducir con pavimento mojado sigue estas reglas básicas para evitar accidentes alsiguientenivel serviryproteger,33,19,1,1,lluvia,-0.1601157933473587
SSP_Apodaca,Policía de Apodaca,2020-09-09 18:13:51+00:00,se logró la detención de dos personas por portación de arma de fuego y cartuchos hábiles al intentar evadir revisión en la col cosmópolis alsiguientenivel serviryproteger,16,5,0,0,incendio,0.6276518404483795
SSP_Apodaca,Policía de Apodaca,2020-09-08 23:04:36+00:00,tetoc,0,0,1,0,no se relaciona,0.2087677419185638
SSP_Apodaca,Policía de Apodaca,2020-09-08 23:04:25+00:00,tetoc,0,0,1,0,no se relaciona,0.2087677419185638
BomberosNL,Bomberos de Nuevo León,2020-09-13 19:52:57+00:00,elementos de la estación en coordinación con cruzrojamty atendieron accidente vial en carretera a san carlos col san antonio linares n l,10,1,0,0,problema vial,0.8811820857226849
BomberosNL,Bomberos de Nuevo León,2020-09-12 17:00:01+00:00,nuestro trabajo también es acudir al rescate cuando hay algún accidente con sustancias químicas que pueden ser peligrosas cuidamos de ti y de tus seres queridos con vocación juntos somosbomberos,28,2,0,0,problema vial,1.400341209024191
BomberosNL,Bomberos de Nuevo León,2020-09-11 21:37:12+00:00,rt newsmty bomberosnl rinden homenaje a héroes del bomberos de nuevoleón rindieron homenaje y mostraron su respeto a los,0,3,0,0,no se relaciona,1.2730721421539783
BomberosNL,Bomberos de Nuevo León,2020-09-11 21:34:27+00:00,elementos de la estación atienden incendio en propiedad abandonada en la col mirasol monterrey n l,13,2,0,0,incendio,-1.658417352475226
BomberosNL,Bomberos de Nuevo León,2020-09-11 18:21:09+00:00,rt lasnoticiasmty aqui le presentamos la historia de roberto un menor que sueña con ser bombero pero por ahora trabaja para apoyar a s,0,8,0,0,no se relaciona,0.5936363041400909
BomberosNL,Bomberos de Nuevo León,2020-09-11 18:20:53+00:00,rt rayelizalder bomberosnl,0,1,0,0,no se relaciona,0.2793705016374588
BomberosNL,Bomberos de Nuevo León,2020-09-11 15:00:01+00:00,hoy se cumplen años de aquel trágico atentando al world trade center y la comunidad estadounidense con mucho respeto recordamos este día,11,2,0,0,no se relaciona,1.512935017235577
BomberosNL,Bomberos de Nuevo León,2020-09-11 14:00:01+00:00,elementos de bomberos nuevo león reanudan cursos de capacitación continua agradecemos enormemente a la fundación treviño elizondo fundación xignux así como a grupo scr méxico por el gran apoyo brindado a nuestros elementos más información gt,24,0,0,0,no se relaciona,1.5119280274957418
BomberosNL,Bomberos de Nuevo León,2020-09-10 21:27:20+00:00,reunión con el dip juan carlos ruíz garcía lic baldemar tudon martínez y lic carlos mancillas cabrera para revisar proyectos en conjunto que beneficien a la comunidad muchas gracias por su visita,11,0,0,0,no se relaciona,1.112183898687363
BomberosNL,Bomberos de Nuevo León,2020-09-10 14:50:47+00:00,rt joluisgarcia graciasbomberos ayer compartíamos la historia de jesús roberto no estaba estudiando por falta de tv y acompañaba a s,0,46,0,0,no se relaciona,-0.335746705532074
BomberosNL,Bomberos de Nuevo León,2020-09-10 02:28:38+00:00,rt rayelizalder cracks,0,1,0,0,no se relaciona,-1.2461915276944635
BomberosNL,Bomberos de Nuevo León,2020-09-10 01:22:25+00:00,el día de hoy tuvimos la oportunidad de apoyar a un niño y su familia los cuales merecen todo nuestro respeto y admiración sabemos que algún día jesús roberto formará parte de nuestro equipo de trabajo,56,20,3,3,no se relaciona,1.5867686136625707
BomberosNL,Bomberos de Nuevo León,2020-09-09 22:32:36+00:00,equipo de rescate acuático de bomberos n l llevan a cabo búsqueda de persona desaparecida en el río san juan cadereyta n l,7,0,0,0,no se relaciona,0.0493388921022415
BomberosNL,Bomberos de Nuevo León,2020-09-09 17:12:25+00:00,nuestros mejores deseos a effetaabp por su gran labor ayudando al prójimo estos años muchas felicidades,4,1,0,0,no se relaciona,1.8380706957541408
BomberosNL,Bomberos de Nuevo León,2020-09-09 17:00:01+00:00,unidos logramos grandes resultados gracias a la generosidad de mucha gente contamos con nuevos equipos de protección personal asegurándonos mejor mientras trabajamos únete y di somosbomberos da clic aquí,12,1,1,0,no se relaciona,1.6882484750822186
BomberosNL,Bomberos de Nuevo León,2020-09-09 14:25:07+00:00,rt rayelizalder estamadrugada desconocidos que viajaban en bicicleta incendiaron un vehículo que se encontraba estacionado en la cochera,0,3,0,0,no se relaciona,-1.42392073944211
BomberosNL,Bomberos de Nuevo León,2020-09-09 13:34:28+00:00,máquina acudió está madrugada a incendio de automóvil en col villas de san francisco escobedo n l,9,0,0,1,incendio,-1.504877246916294
911SanPedro,Rescate 911 San Pedro,2020-09-13 05:46:52+00:00,nos encontramos atendiendo el reporte de un accidente vial en la av morones prieto pteote y calle benito juárez unidades trabajando en el lugar un carril cerrado a la circulación spgg pcsp,12,1,2,0,problema vial,-0.3865446597337723
pc_mty,Protección Civil Monterrey,2020-09-10 13:04:03+00:00,es importante tomar en cuenta estás recomendaciones,8,3,0,1,no se relaciona,0.9526301119476556
pc_mty,Protección Civil Monterrey,2020-09-10 13:02:59+00:00,precaución al conducir,4,1,0,1,no se relaciona,-0.5685694813728333
pc_mty,Protección Civil Monterrey,2020-09-10 13:02:01+00:00,circula con mucho cuidado respeta los límites de velocidad y evita accidentes viales preveniresvivir,3,0,0,0,problema vial,1.4624634683132172
pc_mty,Protección Civil Monterrey,2020-09-10 12:59:56+00:00,hay que tener mucha precaución se pronostica lluvia para gran parte de este día preveniresvivir,7,1,0,0,lluvia,-0.36115213483572
pc_mty,Protección Civil Monterrey,2020-09-10 12:46:03+00:00,recuerda manejar con precaución al circular en condiciones de lluvia preveniresvivir,11,6,0,0,lluvia,0.9464897513389589
CiudaDanaMtySur,CiudaDanaMtySur,2020-09-13 21:31:17+00:00,rt gracerm ciudadanamtysur entre inseguridad y covid morenaesunpeligroparamexico,0,2,0,0,no se relaciona,-0.9932529479265212
CiudaDanaMtySur,CiudaDanaMtySur,2020-09-12 17:02:47+00:00,ingricardomart revisa qué están haciendo en países que ya salieron de la pandemia y de la cuarentena y además con bajo índice de fallecidos méxico y amlo es puro show mediático para empinar al país y la población los informes de gatell los vi sólo los primer días después investigué,1,0,1,0,no se relaciona,-0.4866562262177467
CiudaDanaMtySur,CiudaDanaMtySur,2020-09-12 16:31:18+00:00,el gobierno de amlo está matando más personas con la excusa del covid que calderon con el narco no hay peor ciego,16,7,9,2,no se relaciona,-1.1634286381304264
CiudaDanaMtySur,CiudaDanaMtySur,2020-09-12 16:27:38+00:00,nocompresadopta comunícate con miaunguau,2,1,0,0,no se relaciona,-0.0762328207492828
